sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
5.11,3.12,1.32,0.12,0
6.19,2.91,4.61,1.18,1
6.44,2.72,5.27,2.0,2
4.62,3.22,1.62,0.21,0
5.78,2.85,4.55,1.15,1
6.74,3.12,5.37,1.9,2
5.37,3.3,1.17,0.08,0
6.28,2.86,4.55,1.37,1
6.53,3.28,5.4,2.02,2
5.26,3.47,1.79,0.22,0
6.16,2.53,4.08,1.24,1
6.16,2.84,5.18,1.93,2
5.11,3.32,1.4,0.11,0
5.81,3.06,4.42,1.33,1
6.24,3.14,5.23,1.96,2
5.39,3.48,1.55,0.26,0
6.27,2.97,4.08,1.16,1
6.35,2.86,5.27,2.13,2
5.3,3.29,1.62,0.17,0
6.33,2.78,4.11,1.22,1
6.55,2.86,5.57,2.12,2
4.92,3.23,1.9,0.2,0
5.67,2.53,3.99,1.34,1
6.73,2.95,5.15,1.96,2
5.4,3.42,1.88,0.31,0
5.61,2.93,4.45,1.31,1
6.31,3.08,5.19,1.98,2
4.96,3.67,1.8,0.13,0
6.0,2.61,4.63,1.41,1
6.34,3.08,5.59,1.9,2
5.21,3.42,1.72,0.21,0
5.6,2.69,3.92,1.43,1
6.8,3.2,5.35,1.87,2
5.3,3.67,1.17,0.2,0
5.66,2.96,4.51,1.19,1
6.48,3.03,5.31,2.11,2
4.94,3.23,1.53,0.27,0
5.76,2.69,4.7,1.34,1
6.45,3.01,5.2,1.92,2
4.87,3.45,1.28,0.12,0
5.66,2.88,4.08,1.42,1
6.79,2.74,5.29,2.05,2
4.77,3.18,1.85,0.22,0
5.98,2.97,4.55,1.21,1
6.18,2.96,5.44,1.99,2
5.18,3.5,1.89,0.08,0
5.92,2.7,4.59,1.22,1
6.25,2.97,5.44,1.93,2
4.8,3.65,1.45,0.31,0
6.04,2.53,4.7,1.4,1
6.88,3.26,5.78,1.9,2
4.99,3.23,1.42,0.07,0
5.9,3.09,4.11,1.39,1
6.46,2.95,5.87,2.15,2
5.04,3.53,1.22,0.14,0
6.37,2.85,4.33,1.37,1
6.15,3.05,5.5,2.11,2
4.73,3.68,1.16,0.11,0
6.08,2.91,4.09,1.19,1
6.81,2.85,5.58,2.04,2
4.94,3.45,1.52,0.33,0
5.76,2.93,4.09,1.27,1
6.64,2.88,5.35,2.08,2
4.66,3.37,1.9,0.35,0
5.66,2.63,4.11,1.43,1
6.8,3.23,5.4,1.9,2
5.27,3.52,1.59,0.35,0
6.12,2.5,4.55,1.24,1
6.63,3.26,5.21,1.88,2
4.69,3.43,1.32,0.23,0
6.17,2.62,4.41,1.23,1
6.49,3.24,5.78,1.88,2
4.94,3.27,1.1,0.28,0
6.11,2.66,4.49,1.32,1
6.44,2.71,5.16,2.11,2
5.32,3.43,1.77,0.22,0
5.72,2.58,4.15,1.42,1
6.74,3.22,5.82,1.91,2
4.8,3.16,1.72,0.32,0
5.93,2.87,4.02,1.43,1
6.79,3.29,5.75,2.11,2
4.62,3.54,1.37,0.33,0
6.24,3.02,4.55,1.23,1
6.73,2.76,5.8,2.11,2
4.78,3.59,1.47,0.14,0
6.24,2.64,3.92,1.21,1
6.36,3.22,5.87,1.93,2
5.11,3.34,1.88,0.21,0
6.35,2.57,4.68,1.2,1
6.87,2.86,5.19,1.98,2
5.18,3.29,1.58,0.2,0
5.91,2.85,4.1,1.36,1
6.1,3.26,5.53,2.07,2
5.19,3.5,1.39,0.07,0
6.13,2.7,4.15,1.4,1
6.68,2.88,5.35,1.97,2
4.92,3.28,1.2,0.18,0
6.35,2.91,4.62,1.33,1
6.34,3.03,5.1,1.94,2
4.94,3.45,1.62,0.19,0
5.95,2.63,4.28,1.42,1
6.74,2.8,5.17,2.0,2
5.11,3.3,1.75,0.28,0
6.14,2.63,4.06,1.16,1
6.3,2.99,5.78,1.87,2
4.93,3.48,1.26,0.26,0
6.0,2.65,4.42,1.15,1
6.7,3.16,5.19,1.98,2
4.74,3.67,1.51,0.07,0
5.8,3.01,4.27,1.39,1
6.63,3.29,5.58,2.14,2
5.31,3.47,1.68,0.2,0
6.26,2.83,4.62,1.37,1
6.48,2.86,5.3,2.04,2
5.21,3.41,1.6,0.13,0
5.66,2.67,4.12,1.25,1
6.53,2.78,5.29,2.06,2
5.17,3.14,1.43,0.21,0
5.93,2.62,4.24,1.42,1
6.57,3.12,5.79,2.08,2
4.9,3.1,1.38,0.28,0
6.28,3.07,4.24,1.37,1
6.54,3.06,5.28,1.92,2
4.95,3.12,1.37,0.25,0
5.92,2.6,4.27,1.19,1
6.6,2.72,5.42,2.02,2
4.62,3.49,1.21,0.19,0
5.64,2.73,4.07,1.25,1
6.71,2.93,5.7,2.1,2
4.8,3.15,1.12,0.21,0
6.4,2.71,4.42,1.38,1
6.62,3.15,5.86,1.91,2
4.62,3.19,1.2,0.25,0
6.05,2.63,4.46,1.38,1
6.23,3.06,5.7,1.88,2
5.26,3.68,1.19,0.06,0
5.85,2.91,4.67,1.27,1
6.67,2.75,5.65,2.04,2
4.68,3.56,1.78,0.23,0
5.7,3.09,4.53,1.25,1
6.44,2.92,5.5,1.95,2
5.28,3.59,1.18,0.34,0
6.11,3.0,4.47,1.28,1
6.69,3.28,5.32,2.09,2
5.03,3.39,1.45,0.27,0
5.81,3.01,4.56,1.18,1
6.81,2.85,5.47,2.03,2
4.9,3.12,1.78,0.1,0
5.77,2.98,4.17,1.41,1
6.66,2.87,5.11,2.13,2
